# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 975 7185 2252 1977
p 2 0 772 7388 2926 1848
p 2 0 799 7361 1994 1802
p 2 0 898 7262 3219 2001
p 2 0 869 7291 2391 1903
p 2 0 1545 6615 3882 2573
p 2 0 1557 6603 3202 2499
p 2 0 4077 4083 8129 5011
p 2 0 2103 6057 4063 3045
p 2 0 2396 5764 5012 3347
p 2 0 2085 6075 4024 2984
p 2 0 1907 6253 4411 2892
p 2 0 2342 5818 4015 3239
p 2 0 1872 6288 5328 2938
p 2 0 2310 5850 4017 3256
p 2 0 1456 6704 4056 2554
p 2 0 2375 5785 4751 3437
i 2 8160 0 0 115946 27570
p 2 0 2673 5487 4578 3445
p 2 0 2283 5877 4040 3129
p 2 0 1090 7070 2532 2076
p 2 0 949 7211 2410 1940
p 2 0 739 7421 2106 1756
p 2 74 1314 6772 14526 3127
p 2 0 1374 6786 2995 2336
p 2 0 1311 6849 3041 2270
p 2 17 2562 5581 12171 3841
p 2 0 1168 6992 2886 2166
p 2 0 1575 6585 3027 2449
p 2 25 1191 6944 11123 2699
p 2 0 1408 6752 3012 2346
p 2 0 1658 6502 3401 2538
p 2 18 2103 6039 11960 3500
p 2 0 2956 5204 5451 3779
p 2 0 2201 5959 4271 3084
p 2 20 2232 5908 11768 3624
p 2 0 2007 6153 3708 2888
p 2 0 1475 6685 3332 2467
p 2 73 3396 4691 17557 5061
p 2 0 3443 4717 8643 4650
p 2 0 4531 3629 9771 5824
p 2 19 4211 3930 18134 6149
p 2 0 4115 4045 8160 5254
p 2 0 3163 4997 6307 4163
p 2 25 3527 4608 14386 4908
p 2 0 2797 5363 5898 3758
p 2 0 2627 5533 4799 3527
p 2 18 3310 4832 13362 4643
p 2 0 2680 5480 6180 3742
p 2 0 3726 4434 7190 4718
p 2 25 3368 4767 15526 5014
p 2 0 3851 4309 7520 4834
p 2 0 2842 5318 4979 3709
p 2 20 2857 5283 12677 4234
p 2 0 2766 5394 4839 3588
p 2 0 3964 4196 8219 4881
p 2 22 4057 4081 14349 5237
p 2 0 2346 5814 4528 3246
p 2 0 1982 6178 3744 2864
p 2 22 2131 6007 12402 3555
p 2 0 1995 6165 4372 2960
p 2 0 2623 5537 4914 3507
p 2 25 2326 5809 12936 3804
p 2 0 2608 5552 5035 3521
p 2 0 1675 6485 3210 2585
p 2 79 1994 6087 13794 3741
p 2 0 1879 6281 3649 2811
p 2 0 1909 6251 3633 2776
p 2 73 2479 5608 16176 4181
p 2 0 2805 5355 4882 3640
p 2 0 1482 6678 3043 2426
p 2 78 2120 5962 13812 3840
p 2 0 1532 6628 3462 2525
i 2 8160 0 0 123555 27712
p 2 0 2382 5778 4037 3252
p 2 0 2338 5822 3608 3170
p 2 0 964 7196 2215 1955
p 2 0 1307 6853 2760 2278
