# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 2 7289 869 23161 10105
i 2 8160 0 0 99746 28567
p 2 35 7388 737 22424 9770
p 2 175 7603 382 50091 12815
p 2 50 7628 482 26361 10619
p 2 171 7596 393 47459 12903
p 2 60 7665 435 25437 10622
p 2 170 7577 413 46190 12877
p 2 23 7754 383 25441 10491
p 2 75 7668 417 40443 12090
p 2 15 7791 354 23730 10293
p 2 73 7598 489 40258 11772
p 2 12 7683 465 23183 10135
p 2 270 7463 427 47339 13313
p 2 14 7667 479 21832 10067
p 2 231 7459 470 45384 12752
p 2 20 7651 489 22905 10064
p 2 202 7458 500 43418 12572
p 2 37 7611 512 22693 10145
p 2 84 7527 549 37248 11485
p 2 66 7623 471 23599 10346
p 2 52 7560 548 35495 11182
p 2 82 7497 581 25299 10376
p 2 267 7432 461 60848 14601
p 2 66 7611 483 25500 10888
p 2 111 7678 371 55085 13959
p 2 73 7597 490 27301 10975
p 2 79 7730 351 56854 14034
p 2 75 7602 483 29752 11342
p 2 23 7812 325 44484 12560
p 2 103 7566 491 28464 11037
p 2 17 7885 258 46174 12593
p 2 73 7581 506 28681 11003
p 2 107 7864 189 52734 13482
p 2 23 7680 457 29171 11042
p 2 103 7885 172 52151 13520
p 2 19 7775 366 28471 11093
p 2 334 7724 102 64929 15281
p 2 22 7764 374 28013 11123
p 2 289 7740 131 65230 15558
p 2 18 7824 318 28767 11265
p 2 81 7964 115 52374 13601
p 2 17 7833 310 29837 11299
p 2 211 7777 172 56160 14033
p 2 21 7826 313 30267 11231
p 2 137 7859 164 50361 13197
p 2 19 7817 324 28992 11144
p 2 86 7959 115 46561 12961
p 2 18 7757 385 28399 11082
p 2 219 7794 147 50081 13365
p 2 16 7811 333 29825 11275
p 2 140 7839 181 44910 12583
p 2 35 7841 284 32224 11382
p 2 144 7884 132 45444 12947
p 2 23 7896 241 32167 11672
p 2 209 7824 127 53039 13805
p 2 28 7867 265 31668 11826
p 2 210 7794 156 51358 13642
p 2 31 7819 310 31409 11774
p 2 234 7803 123 49218 13731
p 2 30 7781 349 30781 11740
i 2 8160 0 0 77252 27058
