# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 3084 5076 5300 3751
p 2 0 2221 5939 3591 2916
p 2 1 4616 3543 16760 6205
p 2 0 3295 4865 5280 3862
p 2 0 1842 6318 3088 2587
p 2 0 4876 3284 15560 6015
p 2 0 2857 5303 5040 3548
p 2 0 2163 5997 3453 2865
p 2 2 4781 3377 15215 5935
p 2 0 2821 5339 4838 3493
p 2 0 1880 6280 3082 2606
p 2 12 1815 6333 3958 2666
p 2 0 1204 6956 2455 2076
p 2 0 1828 6332 3356 2603
p 2 0 1352 6808 3394 2285
p 2 0 1755 6405 2921 2494
p 2 0 1042 7118 2246 1947
p 2 0 1578 6582 3286 2387
p 2 0 1014 7146 2099 1888
p 2 0 1142 7018 2527 2057
p 2 4 1342 6814 3047 2223
p 2 0 1419 6741 2552 2240
p 2 0 1310 6850 2299 2084
p 2 16 1563 6581 3362 2363
p 2 0 864 7296 1964 1783
p 2 0 1349 6811 2327 2127
p 2 0 687 7473 2440 1716
p 2 0 1304 6856 2282 2092
p 2 0 1183 6977 2382 2058
p 2 3 1503 6654 3327 2364
p 2 0 2694 5466 4674 3360
p 2 0 1748 6412 3152 2551
p 2 0 2045 6115 3151 2702
p 2 0 1420 6740 2582 2213
p 2 0 1534 6626 2591 2296
p 2 0 1067 7093 2213 1963
p 2 0 1274 6886 2311 2091
p 2 0 1502 6658 2936 2314
i 2 8160 0 0 89073 26862
p 2 0 3518 4642 5320 4280
p 2 12 4697 3451 23151 6377
p 2 0 2700 5460 5030 3599
p 2 0 2572 5588 4444 3397
p 2 13 2906 5241 21925 4833
p 2 0 5400 2760 12259 6498
p 2 10 6217 1933 23772 8576
p 2 179 7621 360 63761 13378
p 2 64 7225 871 32824 11418
p 2 50 7165 945 32387 11522
p 2 272 7644 244 67598 14594
p 2 65 7379 716 31036 11869
p 2 29 7251 880 30452 11429
p 2 294 7685 181 64535 14792
p 2 64 7483 613 27183 11729
p 2 11 7212 937 24097 10941
p 2 72 7726 362 49382 13042
p 2 0 6530 1630 11242 8316
p 2 0 6273 1887 9243 7426
p 2 0 4660 3500 6597 5508
p 2 0 4665 3495 6264 5405
p 2 0 3624 4536 5018 4398
p 2 0 3752 4408 5195 4495
p 2 0 2835 5325 4180 3671
p 2 0 2781 5379 4062 3596
p 2 0 3018 5142 4639 3825
p 2 0 3367 4793 4938 4111
p 2 0 2220 5940 3543 3097
p 2 0 2154 6006 3393 3007
p 2 0 1683 6477 2887 2611
p 2 0 1863 6297 3118 2745
p 2 0 1535 6625 2767 2459
p 2 0 1630 6530 2777 2506
p 2 0 2041 6119 3502 2921
p 2 0 2237 5923 3616 3050
p 2 0 1517 6643 2734 2438
p 2 0 1727 6433 3017 2627
p 2 0 1427 6733 2599 2353
p 2 0 1460 6700 2651 2383
p 2 0 4622 3538 7725 5411
p 2 0 3314 4846 4984 4070
p 2 0 2373 5787 3830 3216
p 2 0 2023 6137 3282 2852
p 2 0 1561 6599 2756 2428
p 2 0 1075 7085 2245 2024
p 2 0 973 7187 2190 1952
p 2 0 1119 7041 2373 2091
p 2 0 821 7339 2033 1833
p 2 0 1226 6934 2693 2176
p 2 0 1136 7024 2456 2111
p 2 0 1242 6918 2466 2199
p 2 0 909 7251 2093 1902
p 2 0 1049 7111 2186 1996
p 2 0 645 7515 1825 1676
p 2 0 823 7337 1981 1811
p 2 0 646 7514 1834 1662
p 2 0 849 7311 1990 1813
p 2 0 1103 7057 2373 2065
p 2 0 1381 6779 2781 2309
p 2 0 865 7295 2158 1874
p 2 0 1418 6742 4300 2408
p 2 0 1933 6227 6217 2948
p 2 0 2446 5714 7583 3476
p 2 0 2978 5182 9110 3991
p 2 0 3596 4564 10036 4575
p 2 0 3923 4237 11192 4923
p 2 0 4410 3750 11865 5343
p 2 0 4601 3559 12493 5536
p 2 0 4802 3358 13006 5788
p 2 0 4828 3332 13537 5884
p 2 0 5140 3020 14122 6174
p 2 0 5398 2762 15034 6436
p 2 0 5455 2705 14705 6495
p 2 0 5618 2542 15296 6692
p 2 0 5624 2536 15370 6734
p 2 0 5632 2528 15660 6770
p 2 0 5674 2486 15424 6784
p 2 0 5747 2413 15874 6879
p 2 0 5737 2423 15815 6934
p 2 0 6032 2128 16946 7244
p 2 0 6063 2097 16312 7198
p 2 0 6196 1964 16465 7367
p 2 0 6123 2037 16356 7315
p 2 0 6359 1801 16834 7521
p 2 0 6003 2157 16048 7187
p 2 0 6348 1812 17073 7572
p 2 0 6231 1929 16502 7463
p 2 0 7323 837 20324 8710
p 2 0 6488 1672 16881 7693
p 2 0 6684 1476 17497 7863
p 2 0 6167 1993 17202 7430
p 2 0 6500 1660 17347 7669
p 2 0 6252 1908 17124 7497
p 2 0 6721 1439 18097 7961
p 2 20 6612 1528 32256 8920
p 2 0 6704 1456 18175 8065
p 2 0 6278 1882 17016 7595
p 2 36 6722 1402 34085 9335
p 2 0 6381 1779 17473 7786
p 2 0 6782 1378 18196 8103
p 2 32 6556 1572 34320 9174
p 2 0 6751 1409 18716 8205
p 2 0 6461 1699 18069 7855
p 2 51 6840 1269 36422 9566
p 2 0 6723 1437 19198 8233
p 2 0 6843 1317 18747 8168
p 2 0 6642 1518 18234 8027
p 2 0 6870 1290 18697 8216
p 2 0 6508 1652 18559 7938
p 2 0 6853 1307 18727 8156
p 2 0 6650 1510 18585 8058
p 2 0 6893 1267 19139 8205
p 2 0 6639 1521 19372 8136
p 2 0 6838 1322 18712 8170
p 2 1 6819 1340 18599 8190
p 2 0 7002 1158 18988 8284
p 2 0 6798 1362 19090 8204
p 2 0 6949 1211 18889 8279
p 2 0 6771 1389 18496 8193
p 2 0 6909 1251 18935 8300
p 2 0 6721 1439 19142 8248
p 2 0 7073 1087 19516 8441
p 2 0 6842 1318 19230 8330
p 2 0 7144 1016 19289 8538
p 2 0 6885 1275 19206 8370
